Predicted_User,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM,Grid_Distance,Instant_WPM
User_1,y,<space>_y,0.1442928314208984,0.2081677913665771,0.0608217716217041,0,87.63,0.0,57.64580544003739
User_1,<space>,n_<space>,0.0619325637817382,0.1179218292236328,0.0638749599456787,0,87.63,0.0,101.76232915487265
User_1,a,c_a,0.0792601108551025,0.1453447341918945,0.0938277244567871,0,87.63,2.42,82.56233063219712
User_1,n,a_n,0.1170985698699951,0.0378384590148925,0.0518944263458251,1,87.63,5.3,317.1376507504449
User_1,c,<space>_c,0.2010245323181152,0.2921698093414306,0.0660846233367919,0,87.63,0.0,41.07200544453503
User_1,<space>,1_<space>,0.1434900760650634,0.2200746536254882,0.0911452770233154,0,87.63,0.0,54.52695166078047
User_1,1,<space>_1,0.074045181274414,0.1398572921752929,0.0765845775604248,0,87.63,0.0,85.80174700479373
User_1,b,<space>_b,0.1741852760314941,0.2624063491821289,0.0710976123809814,0,87.63,0.0,45.730600793013345
User_1,<space>,y_<space>,0.4811642169952392,0.5475220680236816,0.0882210731506347,0,87.63,0.0,21.916924816044073
User_1,y,m_y,0.1494038105010986,0.2085957527160644,0.0663578510284423,0,87.63,2.62,57.527537563691986
User_1,m,<space>_m,0.0877995491027832,0.1562395095825195,0.0591919422149658,0,87.63,0.0,76.80515659620703
User_1,<space>,y_<space>,0.0049223899841308,0.0675323009490966,0.0684399604797363,0,87.63,0.0,177.69274600972307
User_1,y,l_y,0.0703523159027099,0.1417851448059082,0.0626099109649658,0,87.63,3.64,84.63510064066993
User_1,l,t_l,0.164379596710205,0.0659661293029785,0.0714328289031982,1,87.63,4.61,181.9115374328652
User_1,t,c_t,0.0984134674072265,0.1848127841949463,0.0839807987213134,0,87.63,2.39,64.93057313254924
User_1,c,e_c,0.0992591381072998,0.1631593704223632,0.0863993167877197,0,87.63,2.12,73.54772189262651
User_1,e,r_e,0.0541551113128662,0.1376800537109375,0.0639002323150634,0,87.63,1.0,87.15859470242714
User_1,r,r_r,0.0789337158203125,0.1370627880096435,0.0835249423980712,0,87.63,0.0,87.55111561830844
User_1,r,o_r,0.0755643844604492,0.1186721324920654,0.058129072189331,0,87.63,5.0,101.11893793433212
User_1,o,c_o,0.1790478229522705,0.0811219215393066,0.0431077480316162,1,87.63,5.66,147.925490080823
User_1,c,<space>_c,0.0979259014129638,0.160996675491333,0.0911095142364502,0,87.63,0.0,74.53570058746959
User_1,<space>,t_<space>,0.1353516578674316,0.0352618694305419,0.0630707740783691,1,87.63,0.0,340.3109419265859
User_1,t,c_t,0.1000897884368896,0.1951425075531005,0.0741605758666992,0,87.63,2.39,61.49352158311619
User_1,<space>,i_<space>,0.1087391376495361,0.1550383567810058,0.0495986938476562,0,98.32,0.0,77.40020114474119
User_1,i,<space>_i,0.0086097717285156,0.1043615341186523,0.0462992191314697,0,98.32,0.0,114.98489459111225
User_1,<space>,o_<space>,0.0280776023864746,0.0937440395355224,0.0957517623901367,0,98.32,0.0,128.00813853826773
